Id,SalePrice
2658,133877.14211524968
2718,121373.12353964442
2414,239713.5138982045
1989,105323.57738486853
625,204646.77223506646
333,98144.59809319019
1327,94181.04072714095
858,129895.7452995363
95,180814.5889317771
1568,199649.75028726648
2482,150976.7470225349
1364,120829.18394263308
2584,147090.28930938846
818,317172.6437424959
2673,139780.0476147625
2089,132732.24891924282
1297,160293.17139963084
790,136190.05742910408
2616,204646.77223506646
720,204987.12497527173
222,140745.18764391475
557,129895.7452995363
1148,186913.44521741697
2766,178759.43157241828
534,176420.81864557046
1452,116592.24059746669
630,117751.32653018727
2648,100426.88114367645
125,150534.1811132754
1904,97884.93380893463
1670,99101.53629645932
756,90263.68373418727
717,173854.60591633755
1032,157952.33154508413
852,198471.9359732297
1731,182684.08931611
2639,99226.2633530947
2071,99101.53629645932
1267,110297.92846789889
1851,165143.39371400373
567,162126.7256262057
2439,213382.25405211782
1898,129895.7452995363
647,157888.942117861
2256,241380.58891273386
979,106635.46813975653
1444,245325.14902111894
2485,118726.03139539354
157,129895.7452995363
88,147574.59877304675
2003,100426.88114367645
186,215110.07534442126
1425,243764.67532626353
2695,113829.33515420147
738,105245.73754873301
395,150976.7470225349
1353,198287.3766844562
1878,147039.49977348256
390,191987.40558557317
1456,239713.5138982045
1103,265024.02582496445
1387,153632.86325992463
2070,155977.03876097873
1199,169565.44390790153
2479,168301.10465813696
501,292548.37489774666
2362,99101.53629645932
1718,234870.96759691808
2188,90277.77469359567
1483,158394.66182704177
2557,102869.33189403036
437,333648.67455574125
2224,196034.2605292777
1628,219430.3368074033
397,151520.5599133612
587,186034.43167578644
2182,513045.6296579181
971,132732.24891924282
2611,150976.7470225349
1887,110297.92846789889
2399,351549.3227001563
2148,198471.9359732297
304,119581.82749684653
1997,124678.77749857993
2817,128615.86458552314
1431,199072.66998926896
427,350867.84477482806
263,129895.7452995363
598,193587.6062312678
2895,275094.9252322729
687,119981.35504994493
1822,129895.7452995363
2191,109260.45648362095
179,114953.14845320258
1009,307634.69396539964
2010,113829.33515420147
1991,163618.47748901937
1411,147039.49977348256
1721,275858.82618830417
1144,189582.53442504263
593,264961.2276807622
575,265024.02582496445
1249,182826.2458870871
1604,129895.7452995363
1064,527565.6203358778
1923,177392.7763069161
1988,105323.57738486853
2325,186034.43167578644
114,201847.12992255104
2700,166191.24322303137
217,120986.68694309861
343,199463.64172069827
386,232563.52500989503
2005,106635.46813975653
2908,110297.92846789889
1814,229188.20138919912
2446,441384.9948400479
208,124678.77749857993
1679,129258.786946914
822,321460.8537556155
6,186034.43167578644
1781,411857.25702450983
2397,301795.8750581325
2340,369749.1429811547
1618,168301.10465813696
2843,115334.82835888793
1061,368343.39914954826
2786,116592.24059746669
1935,129895.7452995363
1341,124678.77749857993
521,270782.4152893671
2136,140230.90017540817
996,214111.7254200595
227,146697.93374710114
135,163742.195755466
1167,177212.792571999
294,234525.21417506493
1776,176420.81864557046
540,176420.81864557046
1717,234870.96759691808
2303,129895.7452995363
116,194466.61977289832
127,136190.05742910408
1371,114953.14845320258
1014,112521.54652773586
1507,124999.0490583442
702,115983.43429656289
750,133877.14211524968
261,150534.1811132754
1559,102728.68066181523
577,200157.9366059588
2812,198287.3766844562
2080,145100.71153310442
1368,119581.82749684653
2376,135848.49140272266
659,110297.92846789889
1235,140572.4662017896
332,98144.59809319019
1917,150976.7470225349
2094,239713.5138982045
1460,257189.3118390571
1471,191910.46716521692
1509,105401.23222670681
1922,129895.7452995363
433,556244.0528825049
460,253272.82362714584
1116,243764.67532626353
1137,150976.7470225349
53,182905.349033227
2354,216045.36332441302
1475,189539.46405377894
1761,454283.8000434638
842,129895.7452995363
2739,167044.9146201799
2509,180814.5889317771
1007,213382.25405211782
2610,165551.41693022772
1952,110297.92846789889
2719,125755.53231232992
2921,98144.59809319019
1966,189474.58784319705
292,135848.49140272266
1204,219430.3368074033
1829,254336.68169352505
2419,198287.3766844562
391,177171.40580037786
798,119981.35504994493
481,239713.5138982045
193,192958.88104266982
555,136190.05742910408
899,92268.21402505667
2357,213382.25405211782
328,146879.21923293374
1356,150976.7470225349
1154,116592.24059746669
1730,181037.40972798647
2249,158308.72617529499
1119,355304.19178152364
2856,153356.465062201
1394,124999.0490583442
2587,105401.23222670681
61,267260.21124636556
2661,158288.01897633483
2711,145100.71153310442
1147,173298.12660593694
757,119581.82749684653
2623,110970.09527665349
2378,181037.40972798647
1413,145100.71153310442
1722,216439.18199018043
1112,196900.78124544697
1623,201847.12992255104
1201,193587.6062312678
1513,109260.45648362095
957,327552.62433742476
1171,290544.91122479056
1145,225090.34610288395
2726,221865.373107998
703,195757.75374446387
760,103180.04779684443
1964,159927.17538949242
2512,215845.86763340182
159,136578.08977321253
1281,193587.6062312678
468,181037.40972798647
290,164184.7616647255
665,110297.92846789889
1463,250090.1682762861
1792,198287.3766844562
923,115832.73737835194
500,219430.3368074033
1408,151594.62998829322
331,98144.59809319019
170,123493.13585517707
2192,108064.11591536675
2571,281942.9677738949
2314,181037.40972798647
2647,105323.57738486853
422,540063.5721390052
2457,257924.88226219342
1838,180709.98065400645
2805,250090.1682762861
1645,181730.31470304882
1711,299354.3621084062
2825,213382.25405211782
322,281006.83403503266
2103,243764.67532626353
342,125857.39053937542
600,121668.68352314093
488,186034.43167578644
1725,296951.5923076604
2246,348585.0648171776
2847,153459.7718292942
806,250090.1682762861
530,195909.46629943873
963,186913.44521741697
2678,86822.93093221585
171,90263.68373418727
2401,474786.3929162703
805,239713.5138982045
2259,199463.64172069827
1748,239713.5138982045
1361,133877.14211524968
